"Date","HOG","F","MSFT","NFLX","FB","BT"
"2/1/2019","35.508484","8.174797","101.627075","339.850006","165.710007","4007.629883"
"2/4/2019","35.430977","8.156048","104.553864","351.339996","169.250000","4081.949951"
"2/5/2019","35.469730","8.202921","106.017273","355.809998","171.160004","3834.729980"
"2/6/2019","35.266273","8.174797","104.840607","352.190002","170.490005","3848.780029"
"2/7/2019","34.491184","7.790432","104.089134","344.709991","166.380005","3646.090088"
"2/8/2019","34.152088","7.865429","104.484650","347.570007","167.330002","3947.860107"
"2/11/2019","34.578384","7.809182","104.069366","345.730011","165.789993","3797.060059"
"2/12/2019","34.859356","7.931054","105.690964","359.970001","165.039993","3896.209961"
"2/13/2019","35.363159","7.884179","105.611862","351.769989","164.070007","3747.389893"
"2/14/2019","35.537548","7.893555","105.700859","359.070007","163.949997","3880.149902"
"2/15/2019","36.138237","8.006052","107.006050","356.869995","162.500000","3961.010010"
"2/19/2019","35.954159","8.277921","106.956604","361.920013","162.289993","3835.860107"
"2/20/2019","36.109177","8.381042","106.400528","359.910004","162.559998","3874.060059"
"2/21/2019","36.264191","8.165422","108.644722","356.970001","160.039993","3855.389893"
"2/22/2019","35.954159","8.165422","110.193802","363.019989","161.889999","4102.850098"
"2/25/2019","36.419209","8.212297","110.809464","363.910004","164.619995","4050.399902"
"2/26/2019","35.711945","8.324794","111.574081","364.970001","164.130005","4040.750000"
"2/27/2019","36.176994","8.231046","111.385406","362.869995","162.809998","4048.340088"
"2/28/2019","35.963844","8.221671","111.246384","358.100006","161.449997","3668.149902"
"3/1/2019","36.700172","8.240421","111.742897","357.320007","162.279999","3669.199951"
"3/4/2019","36.370762","8.259171","111.474785","351.040009","167.369995","3664.379883"
"3/5/2019","37.591522","8.221671","110.918694","354.299988","171.259995","3551.239990"
"3/6/2019","36.990829","8.043550","110.968346","359.609985","172.509995","3703.899902"
"3/7/2019","36.293255","7.949802","109.617867","352.600006","169.130005","3621.239990"
"3/8/2019","36.487026","7.893555","109.737022","349.600006","169.600006","3643.989990"
"3/11/2019","36.176994","8.071675","112.040794","358.859985","172.070007","3685.300049"
"3/12/2019","35.663502","8.034175","112.825272","356.269989","171.919998","3648.050049"
"3/13/2019","35.707550","7.996677","113.699112","361.209991","173.369995","3729.780029"
"3/14/2019","35.668396","7.884179","113.788483","358.820007","170.169998","3567.729980"
"3/15/2019","35.825005","7.902929","115.099251","361.459991","165.979996","3571.919922"
"3/18/2019","35.355167","8.034175","116.747635","363.440002","160.470001","3602.040039"
"3/19/2019","35.570511","8.156048","116.827080","358.779999","161.570007","3572.050049"
"3/20/2019","34.239307","7.977927","116.697983","375.220001","165.440002","3598.520020"
"3/21/2019","34.415497","8.146673","119.379105","377.869995","166.080002","3582.889893"
"3/22/2019","33.123451","8.006052","116.231277","361.010010","164.339996","3596.500000"
"3/25/2019","33.280060","7.977927","116.837013","366.230011","166.289993","3565.080078"
"3/26/2019","34.092487","8.212297","117.085266","359.970001","167.679993","3453.419922"
"3/27/2019","34.797241","8.081050","115.953232","353.369995","165.869995","3418.250000"
"3/28/2019","34.875549","8.367274","116.112122","354.609985","165.550003","3467.209961"
"3/29/2019","34.904911","8.376814","117.115051","356.559998","166.690002","3434.129883"
"4/1/2019","36.177383","8.567630","118.187492","366.959991","168.699997","3461.629883"
"4/2/2019","36.980019","8.596251","118.356308","367.720001","174.199997","3508.679932"
"4/3/2019","37.156208","8.710742","119.130852","369.750000","173.539993","3449.620117"
"4/4/2019","38.232918","8.815691","118.525124","367.880005","176.020004","3431.239990"
"4/5/2019","39.456451","8.825232","119.051414","365.489990","175.720001","3447.659912"
"4/8/2019","39.436874","8.872935","119.091133","361.410004","174.929993","3394.889893"
"4/9/2019","38.007790","8.787068","118.445679","364.709991","177.580002","3375.330078"
"4/10/2019","38.497204","8.901558","119.349312","363.920013","177.820007","3660.030029"
"4/11/2019","38.585293","8.958802","119.488342","367.649994","177.509995","3652.260010"
"4/12/2019","39.368355","9.016047","120.103996","351.140015","179.100006","3685.139893"
"4/15/2019","39.221531","8.901558","120.203300","348.869995","179.649994","3611.340088"
"4/16/2019","39.896919","8.930180","119.925255","359.459991","178.869995","3617.409912"
"4/17/2019","40.170990","9.063751","120.918259","354.739990","178.779999","3605.870117"
"4/18/2019","40.024166","9.111456","122.507072","360.350006","178.279999","3588.719971"
"4/22/2019","38.878944","9.063751","122.894341","377.339996","181.440002","3593.489990"
"4/23/2019","38.095879","9.209159","124.562599","381.890015","183.779999","3617.239990"
"4/24/2019","36.980019","9.277015","124.135605","374.230011","182.580002","3670.919922"
"4/25/2019","35.717339","9.112220","128.246643","368.329987","193.259995","3912.570068"
"4/26/2019","36.324207","10.091299","128.981461","374.850006","191.490005","3924.239990"
"4/29/2019","36.745106","10.004054","128.862305","371.829987","194.779999","3974.050049"
"4/30/2019","36.441666","10.130075","129.686493","370.540009","193.399994","3937.040039"
"5/1/2019","35.727127","9.984667","126.985519","378.809998","193.029999","3983.530029"
"5/2/2019","36.285053","10.023443","125.327209","379.059998","192.529999","4149.089844"
"5/3/2019","36.422089","10.091299","127.998383","385.029999","195.470001","3771.620117"
"5/6/2019","35.864159","10.052524","127.253632","378.670013","193.880005","3845.510010"
"5/7/2019","35.531357","10.062218","124.642029","370.459991","189.770004","3817.879883"
"5/8/2019","35.453053","10.023443","124.632103","364.369995","189.539993","3830.719971"
"5/9/2019","35.188770","9.887728","124.622177","362.750000","188.649994","3823.370117"
"5/10/2019","35.139832","10.062218","126.240768","361.040009","188.339996","3831.479980"
"5/13/2019","33.280060","9.771402","122.487213","345.260010","181.539993","3842.939941"
"5/14/2019","34.004395","9.926504","123.857559","345.609985","180.729996","3812.310059"
"5/15/2019","34.219730","10.042830","125.601746","354.989990","186.270004","3731.280029"
"5/16/2019","34.356766","10.081605","128.502090","359.309998","186.990005","3874.179932"
"5/17/2019","33.828205","9.974974","127.644958","354.450012","185.300003","3874.979980"
"5/20/2019","34.072910","9.965279","125.801086","348.109985","182.720001","3882.610107"
"5/21/2019","34.904911","9.926504","126.478836","354.269989","184.820007","3868.020020"
"5/22/2019","34.435074","9.664770","127.246277","359.730011","185.320007","3947.739990"
"5/23/2019","33.534554","9.548445","125.761223","352.209991","180.869995","3929.840088"
"5/24/2019","33.769474","9.529056","125.821022","354.390015","181.059998","3874.889893"
"5/28/2019","33.191967","9.480586","125.741287","355.059998","184.309998","3888.570068"
"5/29/2019","32.929676","9.412729","124.525337","349.190002","182.190002","3878.439941"
"5/30/2019","33.068245","9.441812","125.312714","351.850006","183.009995","3881.439941"
"5/31/2019","32.385303","9.228547","123.269516","343.279999","177.470001","3927.080078"
"6/3/2019","33.167221","9.315790","119.442261","336.630005","164.149994","4027.010010"
"6/4/2019","33.889755","9.616301","122.751244","353.399994","167.500000","3998.000000"
"6/5/2019","34.018425","9.480586","125.412384","355.730011","168.169998","3988.850098"
"6/6/2019","33.978836","9.451506","127.395775","357.130005","168.330002","4024.139893"
"6/7/2019","34.295563","9.461199","130.963882","360.869995","173.350006","4056.750000"
"6/10/2019","34.701370","9.519361","132.159912","352.010010","174.820007","3996.929932"
"6/11/2019","34.731060","9.616301","131.661575","351.269989","178.100006","4000.840088"
"6/12/2019","34.196583","9.548445","131.053604","345.559998","175.039993","4007.209961"
"6/13/2019","34.543007","9.752014","131.880844","343.429993","177.470001","3994.110107"
"6/14/2019","34.285664","9.674463","132.010406","339.730011","181.330002","3924.550049"
"6/17/2019","34.206482","9.742320","132.409088","350.619995","189.009995","3942.219971"
"6/18/2019","34.622185","9.790790","134.711426","357.119995","188.470001","4045.979980"
